t=2025-08-20T17:25:04-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-20T17:25:04-0500 lvl=info msg="using configuration at default config path" path=/home/new-msi/.config/ngrok/ngrok.yml
t=2025-08-20T17:25:04-0500 lvl=info msg="open config file" path=/home/new-msi/.config/ngrok/ngrok.yml err=nil
t=2025-08-20T18:18:07-0500 lvl=info msg="join connections" obj=join id=c4b2474000c3 l=127.0.0.1:3001 r=108.213.112.254:54434
t=2025-08-20T18:19:07-0500 lvl=info msg="join connections" obj=join id=d99d7886606c l=127.0.0.1:3001 r=108.213.112.254:54434
t=2025-08-20T18:20:07-0500 lvl=info msg="join connections" obj=join id=cbee141cf9fa l=127.0.0.1:3001 r=108.213.112.254:54434
t=2025-08-20T18:20:08-0500 lvl=info msg="join connections" obj=join id=db69edef596e l=127.0.0.1:3001 r=108.213.112.254:65050
t=2025-08-20T18:21:07-0500 lvl=info msg="join connections" obj=join id=b98f46b913d2 l=127.0.0.1:3001 r=108.213.112.254:65050
t=2025-08-20T18:21:07-0500 lvl=info msg="join connections" obj=join id=74413717ad88 l=127.0.0.1:3001 r=108.213.112.254:58475
t=2025-08-20T18:22:07-0500 lvl=info msg="join connections" obj=join id=1aef7fe03849 l=127.0.0.1:3001 r=108.213.112.254:58475
t=2025-08-20T18:22:08-0500 lvl=info msg="join connections" obj=join id=3b52ad05290b l=127.0.0.1:3001 r=108.213.112.254:51554
t=2025-08-20T18:23:07-0500 lvl=info msg="join connections" obj=join id=dab0f2a154cf l=127.0.0.1:3001 r=108.213.112.254:51554
t=2025-08-20T18:23:07-0500 lvl=info msg="join connections" obj=join id=1629264d1004 l=127.0.0.1:3001 r=108.213.112.254:51554
t=2025-08-20T18:23:08-0500 lvl=info msg="join connections" obj=join id=18835a2cf9ea l=127.0.0.1:3001 r=108.213.112.254:58984
t=2025-08-20T18:24:07-0500 lvl=info msg="join connections" obj=join id=9e889ce8ef93 l=127.0.0.1:3001 r=108.213.112.254:58984
t=2025-08-20T18:25:07-0500 lvl=info msg="join connections" obj=join id=0a2ddceaeff8 l=127.0.0.1:3001 r=108.213.112.254:58984
t=2025-08-20T18:25:08-0500 lvl=info msg="join connections" obj=join id=cfc69d789b59 l=127.0.0.1:3001 r=108.213.112.254:57966
t=2025-08-20T18:26:07-0500 lvl=info msg="join connections" obj=join id=7b41ed06792d l=127.0.0.1:3001 r=108.213.112.254:57966
t=2025-08-20T18:27:07-0500 lvl=info msg="join connections" obj=join id=c8bb5ae7d5b8 l=127.0.0.1:3001 r=108.213.112.254:57966
t=2025-08-20T18:27:07-0500 lvl=info msg="join connections" obj=join id=a91dd4847f9c l=127.0.0.1:3001 r=108.213.112.254:57966
t=2025-08-20T18:27:08-0500 lvl=info msg="join connections" obj=join id=a6cce3135f66 l=127.0.0.1:3001 r=108.213.112.254:64016
t=2025-08-20T18:28:07-0500 lvl=info msg="join connections" obj=join id=5ac65642be9c l=127.0.0.1:3001 r=108.213.112.254:64016
t=2025-08-20T18:29:07-0500 lvl=info msg="join connections" obj=join id=573461fe1eba l=127.0.0.1:3001 r=108.213.112.254:53957
t=2025-08-20T18:30:07-0500 lvl=info msg="join connections" obj=join id=62ed236dd69a l=127.0.0.1:3001 r=108.213.112.254:54518
t=2025-08-20T18:31:07-0500 lvl=info msg="join connections" obj=join id=3ccad494c732 l=127.0.0.1:3001 r=108.213.112.254:54518
t=2025-08-20T18:32:07-0500 lvl=info msg="join connections" obj=join id=656ed3cd5dc3 l=127.0.0.1:3001 r=108.213.112.254:54518
t=2025-08-20T18:33:07-0500 lvl=info msg="join connections" obj=join id=e02a7e5612db l=127.0.0.1:3001 r=108.213.112.254:58413
t=2025-08-20T18:34:07-0500 lvl=info msg="join connections" obj=join id=a971285e7da7 l=127.0.0.1:3001 r=108.213.112.254:58413
t=2025-08-20T18:35:07-0500 lvl=info msg="join connections" obj=join id=28e47654dd74 l=127.0.0.1:3001 r=108.213.112.254:58413
t=2025-08-20T18:36:07-0500 lvl=info msg="join connections" obj=join id=197650337c3d l=127.0.0.1:3001 r=108.213.112.254:58413
t=2025-08-20T18:37:07-0500 lvl=info msg="join connections" obj=join id=677f24052230 l=127.0.0.1:3001 r=108.213.112.254:58413
t=2025-08-20T18:38:07-0500 lvl=info msg="join connections" obj=join id=f38646140a50 l=127.0.0.1:3001 r=108.213.112.254:49178
t=2025-08-20T18:39:07-0500 lvl=info msg="join connections" obj=join id=951144543c52 l=127.0.0.1:3001 r=108.213.112.254:49178
t=2025-08-20T18:39:07-0500 lvl=info msg="join connections" obj=join id=17ff6e47dd22 l=127.0.0.1:3001 r=108.213.112.254:49178
t=2025-08-20T18:39:08-0500 lvl=info msg="join connections" obj=join id=8b7912e9fead l=127.0.0.1:3001 r=108.213.112.254:49761
t=2025-08-20T18:40:07-0500 lvl=info msg="join connections" obj=join id=2df38710b4c9 l=127.0.0.1:3001 r=108.213.112.254:49761
t=2025-08-20T18:41:07-0500 lvl=info msg="join connections" obj=join id=5a2a52f7f289 l=127.0.0.1:3001 r=108.213.112.254:49761
t=2025-08-20T18:42:07-0500 lvl=info msg="join connections" obj=join id=80762dc80788 l=127.0.0.1:3001 r=108.213.112.254:49761
t=2025-08-20T18:42:07-0500 lvl=info msg="join connections" obj=join id=b261ce9fa0be l=127.0.0.1:3001 r=108.213.112.254:49761
t=2025-08-20T18:42:08-0500 lvl=info msg="join connections" obj=join id=3b956b16bb05 l=127.0.0.1:3001 r=108.213.112.254:63681
t=2025-08-20T18:43:07-0500 lvl=info msg="join connections" obj=join id=be649b8a0097 l=127.0.0.1:3001 r=108.213.112.254:63681
t=2025-08-20T18:44:07-0500 lvl=info msg="join connections" obj=join id=0641d654143d l=127.0.0.1:3001 r=108.213.112.254:63681
t=2025-08-20T18:45:07-0500 lvl=info msg="join connections" obj=join id=97b1ebf54701 l=127.0.0.1:3001 r=108.213.112.254:63681
t=2025-08-20T18:45:07-0500 lvl=info msg="join connections" obj=join id=368ff84ae080 l=127.0.0.1:3001 r=108.213.112.254:63681
t=2025-08-20T18:45:08-0500 lvl=info msg="join connections" obj=join id=84a5e56e7570 l=127.0.0.1:3001 r=108.213.112.254:65184
t=2025-08-20T18:46:07-0500 lvl=info msg="join connections" obj=join id=eb3d9016e76a l=127.0.0.1:3001 r=108.213.112.254:65184
t=2025-08-20T18:46:08-0500 lvl=info msg="join connections" obj=join id=c8c70b6bfb2f l=127.0.0.1:3001 r=108.213.112.254:55948
t=2025-08-20T18:47:07-0500 lvl=info msg="join connections" obj=join id=5af9e0ed8e99 l=127.0.0.1:3001 r=108.213.112.254:55948
t=2025-08-20T18:48:07-0500 lvl=info msg="join connections" obj=join id=7f8ff381f8af l=127.0.0.1:3001 r=108.213.112.254:55948
t=2025-08-20T18:48:07-0500 lvl=info msg="join connections" obj=join id=f7ad5f4a1f13 l=127.0.0.1:3001 r=108.213.112.254:55948
t=2025-08-20T18:48:08-0500 lvl=info msg="join connections" obj=join id=394610c2c707 l=127.0.0.1:3001 r=108.213.112.254:58701
t=2025-08-20T18:49:07-0500 lvl=info msg="join connections" obj=join id=eb7de4d76f89 l=127.0.0.1:3001 r=108.213.112.254:58701
t=2025-08-20T18:50:07-0500 lvl=info msg="join connections" obj=join id=f1cc1c3dad56 l=127.0.0.1:3001 r=108.213.112.254:58701
t=2025-08-20T18:50:08-0500 lvl=info msg="join connections" obj=join id=f514b913b44d l=127.0.0.1:3001 r=108.213.112.254:49304
t=2025-08-20T18:51:07-0500 lvl=info msg="join connections" obj=join id=84067bc221a2 l=127.0.0.1:3001 r=108.213.112.254:49304
t=2025-08-20T18:51:08-0500 lvl=info msg="join connections" obj=join id=0e6cd8ed75db l=127.0.0.1:3001 r=108.213.112.254:60040
t=2025-08-20T18:52:07-0500 lvl=info msg="join connections" obj=join id=74b25d73b724 l=127.0.0.1:3001 r=108.213.112.254:65034
t=2025-08-20T18:53:07-0500 lvl=info msg="join connections" obj=join id=d2b8b8574a73 l=127.0.0.1:3001 r=108.213.112.254:65034
t=2025-08-20T18:53:08-0500 lvl=info msg="join connections" obj=join id=4a681db3aea1 l=127.0.0.1:3001 r=108.213.112.254:62865
t=2025-08-20T18:54:07-0500 lvl=info msg="join connections" obj=join id=1678512b0b3e l=127.0.0.1:3001 r=108.213.112.254:62865
t=2025-08-20T18:55:07-0500 lvl=info msg="join connections" obj=join id=e4a421515ac2 l=127.0.0.1:3001 r=108.213.112.254:62865
t=2025-08-20T18:56:07-0500 lvl=info msg="join connections" obj=join id=d29d91ad9200 l=127.0.0.1:3001 r=108.213.112.254:62865
t=2025-08-20T18:57:07-0500 lvl=info msg="join connections" obj=join id=f328ade7a7bc l=127.0.0.1:3001 r=108.213.112.254:62865
t=2025-08-20T18:57:08-0500 lvl=info msg="join connections" obj=join id=6235ce9b5f8b l=127.0.0.1:3001 r=108.213.112.254:53750
t=2025-08-20T18:58:07-0500 lvl=info msg="join connections" obj=join id=37017201eed8 l=127.0.0.1:3001 r=108.213.112.254:53750
t=2025-08-20T18:59:07-0500 lvl=info msg="join connections" obj=join id=43e0dd4178b5 l=127.0.0.1:3001 r=108.213.112.254:63449
t=2025-08-20T19:00:07-0500 lvl=info msg="join connections" obj=join id=b94b7dd7bb85 l=127.0.0.1:3001 r=108.213.112.254:63449
t=2025-08-20T19:01:07-0500 lvl=info msg="join connections" obj=join id=577e57fb3eca l=127.0.0.1:3001 r=108.213.112.254:63449
t=2025-08-20T19:01:07-0500 lvl=info msg="join connections" obj=join id=8535380ff09a l=127.0.0.1:3001 r=108.213.112.254:51480
t=2025-08-20T19:02:07-0500 lvl=info msg="join connections" obj=join id=327b908c47c1 l=127.0.0.1:3001 r=108.213.112.254:51480
t=2025-08-20T19:02:08-0500 lvl=info msg="join connections" obj=join id=eb433453317a l=127.0.0.1:3001 r=108.213.112.254:62464
t=2025-08-20T19:03:07-0500 lvl=info msg="join connections" obj=join id=24f9810d663f l=127.0.0.1:3001 r=108.213.112.254:62464
t=2025-08-20T19:03:07-0500 lvl=info msg="join connections" obj=join id=d843d73e73a3 l=127.0.0.1:3001 r=108.213.112.254:62464
t=2025-08-20T19:03:08-0500 lvl=info msg="join connections" obj=join id=36988433dbe6 l=127.0.0.1:3001 r=108.213.112.254:53784
t=2025-08-20T19:04:07-0500 lvl=info msg="join connections" obj=join id=ef9f500e128a l=127.0.0.1:3001 r=108.213.112.254:53784
t=2025-08-20T19:04:08-0500 lvl=info msg="join connections" obj=join id=3fe520180324 l=127.0.0.1:3001 r=108.213.112.254:53230
t=2025-08-20T19:05:08-0500 lvl=info msg="join connections" obj=join id=06a7b2be687a l=127.0.0.1:3001 r=108.213.112.254:55657
t=2025-08-20T19:06:07-0500 lvl=info msg="join connections" obj=join id=f643817bd6f0 l=127.0.0.1:3001 r=108.213.112.254:55657
t=2025-08-20T19:07:07-0500 lvl=info msg="join connections" obj=join id=4c46fee13aaf l=127.0.0.1:3001 r=108.213.112.254:55657
t=2025-08-20T19:08:07-0500 lvl=info msg="join connections" obj=join id=d3c690a80d51 l=127.0.0.1:3001 r=108.213.112.254:62677
t=2025-08-20T19:09:07-0500 lvl=info msg="join connections" obj=join id=35f4ca45aa31 l=127.0.0.1:3001 r=108.213.112.254:62677
t=2025-08-20T19:09:08-0500 lvl=info msg="join connections" obj=join id=de5b1631142f l=127.0.0.1:3001 r=108.213.112.254:61476
t=2025-08-20T19:10:07-0500 lvl=info msg="join connections" obj=join id=de8e809747bc l=127.0.0.1:3001 r=108.213.112.254:61476
